Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
AES,The AES Corporation,14.84,9850,1900,Basic Industries,Electric Utilities: Central,https://www.nasdaq.com/symbol/aes
AMAL,Amalgamated Bank,15.6,497.24,2018,Consumer Non-Durables,Textiles,https://www.nasdaq.com/symbol/amal
VRTV,Veritiv Corporation,16.32,262.75,2014,Consumer Services,Paper,https://www.nasdaq.com/symbol/vrtv
MPV,Barings Participation Investors,17.22,181.55,1988,Consumer Services,Miscellaneous,https://www.nasdaq.com/symbol/mpv
JOE,St. Joe Company (The),17.4,1050,1900,Consumer Services,Homebuilding,https://www.nasdaq.com/symbol/joe
ABB,ABB Ltd,18.46,39370,1900,Consumer Durables,Electrical Products,https://www.nasdaq.com/symbol/abb
MSON,MISONIX Inc.,20.54,198.14,1992,Capital Goods,Medical Specialities,https://www.nasdaq.com/symbol/mson
BHGE,Baker Hughes a GE company,21.3,22110,2017,Energy,Metal Fabrications,https://www.nasdaq.com/symbol/bhge
RELX,RELX PLC,23.68,46040,2015,Consumer Services,Publishing,https://www.nasdaq.com/symbol/relx
KR,Kroger Company (The),23.92,19110,1900,Consumer Services,Food Chains,https://www.nasdaq.com/symbol/kr
HCCI,Heritage-Crystal Clean Inc.,24.62,570.7,2008,Basic Industries,Miscellaneous,https://www.nasdaq.com/symbol/hcci
NEO,NeoGenomics Inc.,24.89,2590,1900,Health Care,Precision Instruments,https://www.nasdaq.com/symbol/neo
AAWW,Atlas Air Worldwide Holdings,24.97,645.58,1900,Transportation,Transportation Services,https://www.nasdaq.com/symbol/aaww
MOV,Movado Group Inc.,25.24,581.77,1900,Consumer Non-Durables,Consumer Specialties,https://www.nasdaq.com/symbol/mov
LKQ,LKQ Corporation,25.4,7830,1900,Consumer Services,Motor Vehicles,https://www.nasdaq.com/symbol/lkq
CAJ,Canon Inc.,25.6,27230,1900,Miscellaneous,Industrial Machinery Components,https://www.nasdaq.com/symbol/caj
CENT,Central Garden & Pet Company,26.05,1500,1993,Consumer Durables,Consumer Specialties,https://www.nasdaq.com/symbol/cent
GLW,Corning Incorporated,27.23,21260,1900,Basic Industries,Telecommunications Equipment,https://www.nasdaq.com/symbol/glw
RAVN,Raven Industries Inc.,27.61,991.95,1900,Capital Goods,Specialty Chemicals,https://www.nasdaq.com/symbol/ravn
EPD,Enterprise Products Partners L.P.,28.12,61550,1900,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/epd
SAFE,Safehold Inc.,28.62,1160,2017,Consumer Services,Real Estate,https://www.nasdaq.com/symbol/safe
JD,JD.com Inc.,29.74,43390,2014,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/jd
NCR,NCR Corporation,30.42,3660,1900,Miscellaneous,Office Equipment-Supplies-Services,https://www.nasdaq.com/symbol/ncr
HOG,Harley-Davidson Inc.,30.89,4840,1900,Consumer Non-Durables,Motor Vehicles,https://www.nasdaq.com/symbol/hog
WMS,Advanced Drainage Systems Inc.,31.28,1810,2014,Capital Goods,Containers-Packaging,https://www.nasdaq.com/symbol/wms
ROL,Rollins Inc.,31.72,10390,1900,Finance,Diversified Commercial Services,https://www.nasdaq.com/symbol/rol
CRH,CRH PLC,32.8,26140,1900,Capital Goods,Building Materials,https://www.nasdaq.com/symbol/crh
ENB,Enbridge Inc,32.89,66560,1900,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/enb
PWR,Quanta Services Inc.,33.21,4720,1900,Capital Goods,Engineering & Construction,https://www.nasdaq.com/symbol/pwr
ACM,AECOM,33.7,5320,2007,Consumer Services,Military-Government-Technical,https://www.nasdaq.com/symbol/acm
T,AT&T Inc.,34.93,255230,1900,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/t
HSBC,HSBC Holdings plc,35.6,143990,1900,Finance,Savings Institutions,https://www.nasdaq.com/symbol/hsbc
ECPG,Encore Capital Group Inc,35.68,1110,1900,Finance,Finance Companies,https://www.nasdaq.com/symbol/ecpg
TPB,Turning Point Brands Inc.,36.68,721.07,2016,Consumer Non-Durables,Tobacco,https://www.nasdaq.com/symbol/tpb
MIC,Macquarie Infrastructure Corporation ,37.13,3200,2004,Energy,Oil Refining-Marketing,https://www.nasdaq.com/symbol/mic
IP,International Paper Company,37.76,14830,1900,Basic Industries,Paper,https://www.nasdaq.com/symbol/ip
MAS,Masco Corporation,39.41,11410,1900,Basic Industries,Forest Products,https://www.nasdaq.com/symbol/mas
FUL,H. B. Fuller Company,40.47,2060,1900,Basic Industries,Home Furnishings,https://www.nasdaq.com/symbol/ful
BBL,BHP Group Plc,41.14,104020,1900,Energy,Coal Mining,https://www.nasdaq.com/symbol/bbl
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,41.34,214390,1997,Technology,Semiconductors,https://www.nasdaq.com/symbol/tsm
JCI,Johnson Controls International plc,41.59,33090,1900,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/jci
MLHR,Herman Miller Inc.,41.84,2470,1900,Consumer Durables,Office Equipment-Supplies-Services,https://www.nasdaq.com/symbol/mlhr
PKX,POSCO,41.94,14630,1994,Basic Industries,Steel-Iron Ore,https://www.nasdaq.com/symbol/pkx
CMCSA,Comcast Corporation,43.35,197030,1900,Consumer Services,Television Services,https://www.nasdaq.com/symbol/cmcsa
CCL,Carnival Corporation,43.48,31150,1987,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/ccl
THO,Thor Industries Inc.,43.7,2410,1900,Consumer Non-Durables,Homebuilding,https://www.nasdaq.com/symbol/tho
DLX,Deluxe Corporation,44.75,1920,1900,Consumer Durables,Publishing,https://www.nasdaq.com/symbol/dlx
DCI,Donaldson Company Inc.,46.23,5900,1900,Capital Goods,Pollution Control Equipment,https://www.nasdaq.com/symbol/dci
CSCO,Cisco Systems Inc.,47.1,201620,1990,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/csco
BHP,BHP Group Limited,47.22,119400,1900,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/bhp
TOT,Total S.A.,48.52,125970,1900,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/tot
HOLX,Hologic Inc.,48.54,12980,1990,Health Care,Medical Electronics,https://www.nasdaq.com/symbol/holx
NTR,Nutrien Ltd.,48.76,27930,2018,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/ntr
AFL,Aflac Incorporated,48.95,36240,1900,Finance,Accident &Health Insurance,https://www.nasdaq.com/symbol/afl
DHI,D.R. Horton Inc.,49.21,18200,1900,Capital Goods,Homebuilding,https://www.nasdaq.com/symbol/dhi
BX,The Blackstone Group Inc.,49.24,58850,2007,Finance,Investment Managers,https://www.nasdaq.com/symbol/bx
CBRE,CBRE Group Inc.,49.39,16610,1900,Finance,Real Estate,https://www.nasdaq.com/symbol/cbre
LEN,Lennar Corporation,51.04,16440,1900,Basic Industries,Homebuilding,https://www.nasdaq.com/symbol/len
BAM,Brookfield Asset Management Inc,51.15,50930,1900,Consumer Services,Building operators,https://www.nasdaq.com/symbol/bam
UVV,Universal Corporation,51.22,1280,1900,Consumer Services,Farming-Seeds-Milling,https://www.nasdaq.com/symbol/uvv
RHI,Robert Half International Inc.,53.17,6250,1900,Technology,Professional Services,https://www.nasdaq.com/symbol/rhi
TJX,TJX Companies Inc. (The),53.45,64820,1900,Consumer Services,Clothing-Shoe-Accessory Stores,https://www.nasdaq.com/symbol/tjx
ENS,Enersys,53.97,2290,2004,Consumer Non-Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/ens
MDLZ,Mondelez International Inc.,54.46,78540,1900,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/mdlz
KO,Coca-Cola Company (The),54.54,233210,1900,Consumer Non-Durables,Beverages (Production-Distribution),https://www.nasdaq.com/symbol/ko
SNE,Sony Corp Ord,55.52,69170,1900,Consumer Non-Durables,Consumer Electronics-Appliances,https://www.nasdaq.com/symbol/sne
LITE,Lumentum Holdings Inc.,56.09,4300,1900,Capital Goods,Telecommunications Equipment,https://www.nasdaq.com/symbol/lite
ALC,Alcon Inc.,58.56,28620,2019,Health Care,Ophthalmic Goods,https://www.nasdaq.com/symbol/alc
CCOI,Cogent Communications Holdings Inc.,59.54,2790,1900,Consumer Services,Telecommunications Equipment,https://www.nasdaq.com/symbol/ccoi
DLB,Dolby Laboratories,60.57,6100,2005,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/dlb
MTZ,MasTec Inc.,60.61,4630,1900,Basic Industries,Water Supply,https://www.nasdaq.com/symbol/mtz
CVS,CVS Health Corporation,60.76,79020,1900,Health Care,Medical-Nursing Services,https://www.nasdaq.com/symbol/cvs
AAXN,Axon Enterprise Inc.,60.96,3610,1900,Capital Goods,Ordnance And Accessories,https://www.nasdaq.com/symbol/aaxn
WAB,Westinghouse Air Brake Technologies Corporation,66.02,12420,1900,Capital Goods,Railroads,https://www.nasdaq.com/symbol/wab
